user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
galabhupesh,,Twitter for Android,,2021-05-09 15:40:48,True,524,@ANI When Court asked for Oxygen Audits and when his near ones got caught in O2 Hoardings he said now he had enough… https://t.co/K086Idr6D5,0,False
its_sreedhar,,Twitter for Android,,2021-05-09 15:40:48,True,217,AP gov sanctioned 310cr for 49 oxygen plants for all districts and said that plants will become operational within… https://t.co/6RSd7NTEsb,0,False
khansahilrehab,"Patna, India",Twitter for iPhone,,2021-05-09 15:40:48,False,337,@thevirdas Only Oxygen and steroids seem to work. The rest have equivocal evidence. Prone Ventilation manoeuvre als… https://t.co/6zfN16Le21,0,False
ArunGarimella,"Vijayawada, India",Twitter for Android,,2021-05-09 15:40:46,False,93,"Sir, Need Oxygen bed urgently in Vijayawada , Andhra Pradesh.

Patient Name: Satyavathi
Age:75
Contact: 7995807468… https://t.co/vMinIG3xs5",0,False
iprachi_singh,"Rajasthan, India",Twitter for Android,,2021-05-09 15:40:45,False,926,@dulcetchani @TajinderBagga @yuvahallabol I think normal oxygen bed,0,False
Anandku97976416,"New Delhi, India",Twitter for Android,,2021-05-09 15:40:43,False,173,@SonuSood @SoodFoundation Sonu Sood bhai  i need oxygen cylinder for my aunt kindly help,0,False
kbrjls,"Chennai, India",Twitter for Android,,2021-05-09 15:40:41,False,197,@MehulDevkala @RizviSalim @saliltripathi @svaradarajan @Ranaayu @TheIndiaCable @DeepalTrevedie @seemay @pratik_k… https://t.co/xpBFhyvLA1,0,False
NityaJain_,,Twitter for Android,,2021-05-09 15:40:40,False,475,#FreeNatashaNarwal #FreePoliticalPrisoners @narendramodi @BJP4India please vaccinate and test people. Please provid… https://t.co/bmGkEllmjX,0,False
Vaibhav02824150,,Twitter Web App,,2021-05-09 15:40:39,False,188,@Sootradhar @VasudevanL5 You know the company that would have sold the oxygen concentrator would have it made in 17… https://t.co/JRHu5yKGCG,0,False
shiningSHIE143,,Twitter for iPhone,,2021-05-09 15:40:33,False,173,@jesussunbaes YAH. WHAT IS THE CONCEPT THEN? They’re clowning us. 😭😭😭😭😭 You have more oxygen? Please send me some im dyiiiing 😭,0,False
KhanOvaiz1,,Twitter for Android,,2021-05-09 15:40:32,False,214,@_Hitlur What confession i never balmed him for oxygen shortage  ...02  is the responsibility of goi to provide to states,0,False
SauravK1890,"Bihar, India",Twitter for Android,,2021-05-09 15:40:31,True,934,"COVID-19: Oxygen Crunch and Defunct Ventilators Endanger Lives in Bihar
@shahfaisalBR  https://t.co/2GG6WQ8JuF",0,False
sneha_bk,India,Twitter for iPhone,,2021-05-09 15:40:29,True,103,"@vasudevkulk @s_karkala @Swamy39 Who said they r not spending oxygen plants, concentrator, ventilators, temporary h… https://t.co/2uejKmCI02",0,False
AhmedZahid05,India,Twitter for Android,,2021-05-09 15:40:29,True,815,#SOSCHENNAI Need Immediate hospitalisation with Oxygen for a mail patient in Chennai. SPO2 = 84 &amp; dropping. Covid+… https://t.co/opvi03cmMX,0,False
SDTRIYADH,,Twitter for iPhone,,2021-05-09 15:40:24,True,5,@ashokgehlot51 please take timely action to depute skilled medical staff in all hospitals where oxygen concentrator… https://t.co/uZJitdTqT8,0,False
RappStar4,À côté de mes pompes,Twitter for iPad,,2021-05-09 15:40:23,False,2592,@greta I don’t think there was enough oxygen in that egg you were hatched from...,0,False
AKNK9999,,Twitter for Android,,2021-05-09 15:40:22,False,267,Need Oxygen concentrator for rent. One of my friend’s father recovered from Covid but he would need oxygen support… https://t.co/Ih1Q8Do7Ai,0,False
af1c10nad0,,Twitter for Android,,2021-05-09 15:40:17,False,712,Please do not underestimate this Content Manipulator. Oxygen on planet earth was discovered by this PAAPi. https://t.co/kUrny5xmyS,0,False
Souravert,"Kolkata, কোলকাতা",Twitter for Android,,2021-05-09 15:40:16,False,174,"@RealHistoryPic M - Motherboard
O - Oxygen
D - De
I - Immediately

from Indians

#ModiMustResign",0,False
sbtsvtxtEn_twt,btsvt world domination,Twitter Web App,,2021-05-09 15:40:16,False,131,ok i need oxygen cause the photo just took my breath away #BTS_Butter #ButterTeaser1,0,False
